:ID,name,:LABEL,description,node_count,page,relevance_score,semantic_type,source
n_fcb8a837,Dependability Properties,QualityAttribute,"Attributes that ensure a system operates reliably and safely, including safety and reliability.",,340,0.8,,Software Engineering - Ian Sommerville.pdf
n_92820c96,Software-Controlled Decisions,DDDConcept,Decisions made by software that are critical to the safety of the system.,,340,0.8,,Software Engineering - Ian Sommerville.pdf
n_c73527cd,Monitoring Software,CodeStructure,"Software used to check and monitor safety-critical components, ensuring early detection of failures.",,340,0.8,,Software Engineering - Ian Sommerville.pdf
n_d88b7dec,Transformational Development,DesignPattern,A process where formal specifications are systematically transformed into program code.,,357,0.8,,Software Engineering - Ian Sommerville.pdf
n_72694b41,Specification Analysis,QualityAttribute,The process of mathematically analyzing system specifications to discover errors and omissions.,,357,0.75,,Software Engineering - Ian Sommerville.pdf
n_22a09db6,Safety Certification,QualityAttribute,The process of ensuring that components meet safety specifications before use in critical systems.,,357,0.85,,Software Engineering - Ian Sommerville.pdf
n_92839f51,Static Analysis,DesignPattern,"A technique used to analyze code for potential errors without executing it, often involving assertions and error pattern definitions.",,361,0.85,,Software Engineering - Ian Sommerville.pdf
n_bb05774e,Assertion Checking,DesignPattern,A method where developers include formal assertions in their code to specify conditions that must hold true at certain points.,,361,0.8,,Software Engineering - Ian Sommerville.pdf
n_c5af508c,Error Patterns,CodeStructure,User-defined patterns that specify common errors to be detected by static analysis tools.,,361,0.75,,Software Engineering - Ian Sommerville.pdf
n_4b2a590d,Verification and Validation Procedures,QualityAttribute,Processes to ensure that the system meets safety requirements and functions correctly.,,363,0.8,,Software Engineering - Ian Sommerville.pdf
n_94fea233,Hazard and Risk Analysis,QualityAttribute,Assessment of potential hazards and risks associated with the system.,,363,0.85,,Software Engineering - Ian Sommerville.pdf
n_53a5280e,Structured Arguments,DesignPattern,Logical frameworks used to justify the safety of the system design.,,363,0.75,,Software Engineering - Ian Sommerville.pdf
n_9a65540b,Team Competences,CodeStructure,Documentation of the skills and qualifications of the team involved in safety-critical system development.,,363,0.7,,Software Engineering - Ian Sommerville.pdf
n_762e9f63,Process Quality Assurance,QualityAttribute,Records of quality assurance processes carried out during system development.,,363,0.7,,Software Engineering - Ian Sommerville.pdf
n_cfc3ea86,Safety Argument,DesignPattern,A method for demonstrating that a system does not reach unsafe states by proving contradictions in program paths.,,366,0.8,,Software Engineering - Ian Sommerville.pdf
n_8f09baeb,Unsafe State Predicate,CodeStructure,"A condition that defines when a system is in an unsafe state, specifically when currentDose exceeds maxDose.",,366,0.7,,Software Engineering - Ian Sommerville.pdf
n_4c031d8a,State Model Analysis,DesignPattern,A method for analyzing system states to identify unsafe conditions and ensure safety in system design.,,366,0.7,,Software Engineering - Ian Sommerville.pdf
n_5f972a7b,Algorithmic Error Detection,DesignPattern,A design approach to identify errors in algorithms by comparing expected outcomes with actual results.,,352,0.65,,Software Engineering - Ian Sommerville.pdf
n_f2f6eefb,User Requirements Specification,CodeStructure,A detailed document outlining the requirements and expectations of users for a software system.,,352,0.55,,Software Engineering - Ian Sommerville.pdf
n_a5eff88f,Secure Systems Design,ArchPattern,Architectural patterns and design guidelines specifically aimed at creating secure systems.,,373,0.9,,Software Engineering - Ian Sommerville.pdf
n_ea7a13f7,Risk-Based Approach,DesignPrinciple,A methodology for deriving security requirements and analyzing system designs based on identified risks.,,373,0.8,,Software Engineering - Ian Sommerville.pdf
n_ca548e0e,Vulnerability,QualityAttribute,"A weakness in a system that can be exploited, impacting its security and dependability.",,377,0.7,,Software Engineering - Ian Sommerville.pdf
n_a1595abb,Control,QualityAttribute,"Protective measures, such as encryption, that reduce system vulnerabilities.",,377,0.6,,Software Engineering - Ian Sommerville.pdf
n_26e9054b,Asset,QualityAttribute,"Valuable components of a system that need protection, including software and data.",,377,0.6,,Software Engineering - Ian Sommerville.pdf
n_7228bb53,Risk Management,DesignPrinciple,A principle that guides organizations in assessing and managing the risks associated with security failures.,,380,0.75,,Software Engineering - Ian Sommerville.pdf
n_142b43d7,Information Security Policy,CodeStructure,A documented framework that outlines the protection levels required for different types of organizational assets.,,380,0.7,,Software Engineering - Ian Sommerville.pdf
n_a112bfee,Middleware,CodeStructure,"Software that connects different applications or services, facilitating communication and data management.",,375,0.9,,Software Engineering - Ian Sommerville.pdf
n_435b21e2,User and Permission Management,QualityAttribute,A security quality attribute focusing on controlling user access and permissions within a system.,,375,0.8,,Software Engineering - Ian Sommerville.pdf
n_ac1e2b93,System Software Deployment and Maintenance,QualityAttribute,"A quality attribute that ensures the system software is properly installed, configured, and updated to mitigate security vulnerabilities.",,375,0.75,,Software Engineering - Ian Sommerville.pdf
n_65018105,"Attack Monitoring, Detection, and Recovery",QualityAttribute,A quality attribute that involves monitoring systems for unauthorized access and implementing recovery strategies post-attack.,,375,0.8,,Software Engineering - Ian Sommerville.pdf
n_64d354dc,Operating System,CodeStructure,The software that manages computer hardware and software resources and provides common services for computer programs.,,375,0.9,,Software Engineering - Ian Sommerville.pdf
n_b884685c,Reusable Components and Libraries,CodeStructure,Pre-built code modules that can be reused across different applications to enhance development efficiency.,,375,0.85,,Software Engineering - Ian Sommerville.pdf
n_f985198f,Vulnerability Avoidance,DesignPrinciple,A principle focused on designing systems to avoid security vulnerabilities.,,379,0.85,,Software Engineering - Ian Sommerville.pdf
n_d7f2615c,Encryption,DesignPrinciple,A method used to protect sensitive data from unauthorized access.,,379,0.8,,Software Engineering - Ian Sommerville.pdf
n_e8f037d6,Denial-of-Service Attack,QualityAttribute,A type of attack that aims to make a system unavailable to its intended users.,,379,0.75,,Software Engineering - Ian Sommerville.pdf
n_2a527774,Unauthorized Access,QualityAttribute,A security concern where an unauthorized user gains access to system resources.,,379,0.8,,Software Engineering - Ian Sommerville.pdf
n_3177ea52,Risk Assessment,DDDConcept,A quality attribute that involves evaluating risks to balance process efficiency and resilience in system design.,,425,0.8,,Software Engineering - Ian Sommerville.pdf
n_0d11e153,Secure Socket Layer (SSL),QualityAttribute,"A protocol for securing communications over a computer network, ensuring data integrity and confidentiality.",,387,0.9,,Software Engineering - Ian Sommerville.pdf
n_8d46def3,Biometric Authentication,QualityAttribute,"A security measure that uses unique biological traits for user authentication, enhancing system security.",,387,0.8,,Software Engineering - Ian Sommerville.pdf
n_43c07ce2,Network Monitor,CodeStructure,A system component that observes and analyzes network traffic for security purposes.,,387,0.7,,Software Engineering - Ian Sommerville.pdf
n_55ed9380,Certificate-based Authentication,QualityAttribute,A method of authentication that uses digital certificates to verify the identity of users and devices.,,387,0.8,,Software Engineering - Ian Sommerville.pdf
n_910f2aa7,Risk-based specification,DesignPrinciple,An approach focusing on identifying and specifying requirements based on the risks that could cause significant damage or are likely to occur frequently.,,345,0.9,,Software Engineering - Ian Sommerville.pdf
n_51e9ec3c,Functional safety requirements,QualityAttribute,Requirements that define checking and recovery facilities to ensure system safety and protection against failures and attacks.,,345,0.85,,Software Engineering - Ian Sommerville.pdf
n_6900e51a,Shall not requirements,QualityAttribute,"Requirements that define unacceptable system behavior, guiding the design to avoid specific failure modes.",,345,0.8,,Software Engineering - Ian Sommerville.pdf
n_66186c0e,Domain knowledge,DDDConcept,Knowledge specific to the domain that informs the generation of functional safety requirements.,,345,0.75,,Software Engineering - Ian Sommerville.pdf
n_e3043b73,Safety standards and regulations,DDDConcept,Guidelines that inform the high-level requirements for safety-critical systems.,,345,0.7,,Software Engineering - Ian Sommerville.pdf
n_14376097,Security Requirements,QualityAttribute,Defines the necessary security measures to protect sensitive patient information in the Mentcare system.,,386,0.9,,Software Engineering - Ian Sommerville.pdf
n_3de91150,Editable Web Form,DesignPattern,A user interface design pattern that allows users to edit information directly on the web page.,,392,0.75,,Software Engineering - Ian Sommerville.pdf
n_3f5dcb7b,Password Checker,CodeStructure,A utility that checks the strength of user passwords to enhance security.,,392,0.7,,Software Engineering - Ian Sommerville.pdf
n_bbe66098,Multifactor Authentication,DesignPattern,A security design pattern that requires users to provide multiple forms of verification to access a system.,,389,0.9,,Software Engineering - Ian Sommerville.pdf
n_7af4c8a3,Input Specification,DesignPrinciple,Defining the expected format and structure of system inputs to prevent unexpected behaviors and vulnerabilities.,,399,0.8,,Software Engineering - Ian Sommerville.pdf
n_24a10ca9,Compartmentalization,DesignPrinciple,Organizing information access based on a need-to-know principle to enhance security.,,399,0.8,,Software Engineering - Ian Sommerville.pdf
n_17bd751f,Security and Performance Trade-off,QualityAttribute,"The inherent conflict between ensuring system security and maintaining performance, particularly in distributed systems.",,396,0.9,,Software Engineering - Ian Sommerville.pdf
n_1a073f25,Security Design Principle,DesignPrinciple,Focuses on designing software with security in mind to prevent vulnerabilities during deployment.,,401,0.9,,Software Engineering - Ian Sommerville.pdf
n_e16077e1,Backup Authentication System,DesignPattern,A design pattern that provides an alternative method for user authentication in case the primary method fails.,,401,0.85,,Software Engineering - Ian Sommerville.pdf
n_c2c53d7f,Minimum Privilege Principle,DesignPrinciple,A design principle that advocates for granting the least amount of privilege necessary for users and processes.,,401,0.8,,Software Engineering - Ian Sommerville.pdf
n_fe94673c,Identification Requirements,QualityAttribute,Requirements that specify whether a system should identify its users before interaction.,,383,0.8,,Software Engineering - Ian Sommerville.pdf
n_92a56623,Authentication Requirements,QualityAttribute,Requirements that define how users are identified within the system.,,383,0.8,,Software Engineering - Ian Sommerville.pdf
n_17349c2c,Integrity Requirements,QualityAttribute,Requirements that specify how to avoid data corruption within the system.,,383,0.8,,Software Engineering - Ian Sommerville.pdf
n_bcc2a280,Intrusion Detection Requirements,QualityAttribute,Requirements that specify mechanisms for detecting attacks on the system.,,383,0.8,,Software Engineering - Ian Sommerville.pdf
n_c0809b1c,Privacy Requirements,QualityAttribute,Requirements that specify how data privacy is maintained within the system.,,383,0.8,,Software Engineering - Ian Sommerville.pdf
n_61bada1c,Security Auditing Requirements,QualityAttribute,Requirements that specify how system use can be audited and checked for compliance.,,383,0.8,,Software Engineering - Ian Sommerville.pdf
n_a686cc32,System Maintenance Security Requirements,QualityAttribute,Requirements that specify how an application can prevent authorized changes from defeating its security mechanisms.,,383,0.8,,Software Engineering - Ian Sommerville.pdf
n_c7e6687f,Defense in Depth,DesignPrinciple,A security design principle that advocates for multiple layers of security mechanisms to prevent a single point of failure.,,398,0.9,,Software Engineering - Ian Sommerville.pdf
n_4a50613b,Fail Securely,DesignPrinciple,A design principle that emphasizes ensuring that systems maintain security even in the event of a failure.,,398,0.85,,Software Engineering - Ian Sommerville.pdf
n_f6e8bba4,Platform-level Protection,CodeStructure,"The top layer of protection that controls access to the platform on which the system runs, including user authentication.",,394,0.75,,Software Engineering - Ian Sommerville.pdf
n_54ead4fc,Application-level Protection,CodeStructure,The layer of protection built into the application that manages user access and authorization for actions on data.,,394,0.75,,Software Engineering - Ian Sommerville.pdf
n_ea3e3d40,Security Testing,QualityAttribute,The process of assessing a system\'s ability to resist attacks and vulnerabilities.,,402,0.9,,Software Engineering - Ian Sommerville.pdf
n_9f5f6f3c,Input Validation,DesignPattern,A design pattern that ensures inputs are checked against expected formats to prevent vulnerabilities like SQL injection.,,402,0.85,,Software Engineering - Ian Sommerville.pdf
n_12228932,Security Risk Management,QualityAttribute,Involves assessing potential losses from attacks and deriving security requirements to mitigate these risks.,,405,0.8,,Software Engineering - Ian Sommerville.pdf
n_b171ca23,Secure Systems Architecture,ArchPattern,Involves organizing system structure to protect key assets and minimize losses from attacks.,,405,0.85,,Software Engineering - Ian Sommerville.pdf
n_97def024,Penetration Testing,QualityAttribute,A method of testing that simulates attacks on a system to evaluate its security and identify vulnerabilities.,,404,0.9,,Software Engineering - Ian Sommerville.pdf
n_f7b8e6f0,Experience-based Testing,QualityAttribute,A testing approach that relies on the knowledge and experience of the testing team to identify potential security vulnerabilities.,,404,0.8,,Software Engineering - Ian Sommerville.pdf
n_0771d549,Buffer Overflow,QualityAttribute,"A security vulnerability that occurs when a program writes more data to a buffer than it can hold, potentially allowing attackers to execute arbitrary code.",,404,0.85,,Software Engineering - Ian Sommerville.pdf
n_e85ae859,Security Checklist,CodeStructure,A structured list of security-related checks to ensure that an application adheres to security guidelines.,,404,0.7,,Software Engineering - Ian Sommerville.pdf
n_0595f1a7,Access Permissions,QualityAttribute,"Rules that determine who can access certain files or resources within an application, crucial for maintaining security.",,404,0.75,,Software Engineering - Ian Sommerville.pdf
n_867efe47,Strong Passwords,QualityAttribute,Passwords that meet complexity requirements to enhance security against unauthorized access.,,404,0.7,,Software Engineering - Ian Sommerville.pdf
n_a31fdced,Reliability Engineering,QualityAttribute,"Focuses on ensuring that systems do not fail, emphasizing the importance of minimizing faults.",,411,0.9,,Software Engineering - Ian Sommerville.pdf
n_9fd89786,Cyberattack,QualityAttribute,"An external event that can lead to system failure, highlighting the need for security measures.",,411,0.7,,Software Engineering - Ian Sommerville.pdf
n_b84f4e35,System Recovery Features,CodeStructure,System features designed to maintain critical services and recover from failures.,,411,0.8,,Software Engineering - Ian Sommerville.pdf
n_0461794f,Emergency Mode,DesignPattern,"A design pattern that allows systems to operate under special conditions where normal checks are bypassed, logging actions for audit purposes.",,416,0.9,,Software Engineering - Ian Sommerville.pdf
n_c7c4a976,Authentication and Encryption,QualityAttribute,"Security measures that protect confidential data from unauthorized access, critical for maintaining system integrity.",,416,0.9,,Software Engineering - Ian Sommerville.pdf
n_dcba1eea,Access Rights Management,CodeStructure,A code structure that defines how user permissions are managed and enforced within a system.,,416,0.8,,Software Engineering - Ian Sommerville.pdf
n_02d82c1a,Audit Trail,CodeStructure,"A code structure that logs actions taken by users, providing a record for accountability and security audits.",,416,0.8,,Software Engineering - Ian Sommerville.pdf
n_02808f26,Recovery Procedures,CodeStructure,Defined steps to restore a system to its normal operating state after a failure.,,418,0.8,,Software Engineering - Ian Sommerville.pdf
n_1a874863,Attack Resistance,QualityAttribute,The capability of a system to withstand attacks and maintain functionality.,,412,0.75,,Software Engineering - Ian Sommerville.pdf
n_07ee3d66,System Repair,CodeStructure,Refers to the processes involved in restoring a system to operational status after a failure.,,412,0.7,,Software Engineering - Ian Sommerville.pdf
n_601b7d3d,Software and Data Restoration,CodeStructure,Processes involved in recovering software and data after a cyber incident.,,412,0.7,,Software Engineering - Ian Sommerville.pdf
n_7f4ecffd,Usability vs Security Trade-offs,DesignPrinciple,The balance between making systems user-friendly and ensuring they are secure.,,412,0.65,,Software Engineering - Ian Sommerville.pdf
n_a8f5a79f,Redundancy and Diversity,DesignPrinciple,A principle advocating for multiple defensive layers to enhance system resilience against errors and failures.,,420,0.9,,Software Engineering - Ian Sommerville.pdf
n_206b42c0,Defensive Layers,ArchPattern,An architectural approach that employs multiple layers of checks and balances to prevent system failures and human errors.,,420,0.85,,Software Engineering - Ian Sommerville.pdf
n_31b3667b,Approval Procedure,CodeStructure,A process requiring multiple confirmations for critical system updates to enhance safety and reduce errors.,,420,0.75,,Software Engineering - Ian Sommerville.pdf
n_5177f35b,Conflict Alert Warning,DesignPattern,A specific implementation in air traffic control systems that alerts operators to potential conflicts.,,420,0.7,,Software Engineering - Ian Sommerville.pdf
n_596633d4,Resilient Systems Design,ArchPattern,An architectural approach focused on creating systems that can resist and recover from adverse incidents such as software failures and cyberattacks.,,425,0.9,,Software Engineering - Ian Sommerville.pdf
n_527285b1,Critical Services,CodeStructure,"Elements of a system that are essential for fulfilling its primary purpose, such as handling emergency calls in an ambulance dispatch system.",,425,0.8,,Software Engineering - Ian Sommerville.pdf
n_a7d50f38,Redundancy Strategy,DesignPattern,A design approach that incorporates redundant features to ensure system resilience against failures.,,425,0.7,,Software Engineering - Ian Sommerville.pdf
n_c95db654,Backup Strategy,DesignPattern,A design pattern that outlines methods for creating backups of critical services and assets to ensure recovery from failures.,,425,0.7,,Software Engineering - Ian Sommerville.pdf
n_e03a778e,Event Recognition and Resistance,DesignPattern,A design pattern focused on identifying and mitigating events that could compromise system assets.,,425,0.6,,Software Engineering - Ian Sommerville.pdf
n_ba68bac6,Process Control Mechanisms,DesignPattern,Patterns that ensure adherence to defined processes and best practices in system operations.,,423,0.7,,Software Engineering - Ian Sommerville.pdf
n_0dbcd000,Operational Efficiency,QualityAttribute,A quality attribute focusing on the effectiveness and performance of operational processes.,,423,0.8,,Software Engineering - Ian Sommerville.pdf
n_672dec6f,Sociotechnical Resilience,QualityAttribute,"The ability of a system to adapt and recover from adverse events, integrating both social and technical aspects.",,423,0.85,,Software Engineering - Ian Sommerville.pdf
n_ac96363d,Warning Service,CodeStructure,A service component that identifies and flags potentially dangerous patients.,,429,0.6,,Software Engineering - Ian Sommerville.pdf
n_f273813a,Patient Record Database,CodeStructure,A database that maintains all patient information necessary for the operation of the Mentcare system.,,429,0.7,,Software Engineering - Ian Sommerville.pdf
n_d9d57100,Concept Reuse,DesignPrinciple,"The practice of reusing abstract ideas or algorithms rather than specific software components, allowing for adaptability across different situations.",,440,0.9,,Software Engineering - Ian Sommerville.pdf
n_fd01a5b1,Reusable Software Components,CodeStructure,Software modules that can be reused in different applications to reduce development time and costs.,,440,0.8,,Software Engineering - Ian Sommerville.pdf
n_5f6bdac6,Subsystems,CodeStructure,Independent components within a larger system that interact with each other.,,577,0.8,,Software Engineering - Ian Sommerville.pdf
n_0210e126,Multilevel System Authentication,DesignPattern,A security design pattern that implements multiple layers of authentication to enhance security.,,431,0.9,,Software Engineering - Ian Sommerville.pdf
n_fc52d471,Automated Malware Checks,DesignPattern,A design pattern that automates the detection of malware during system startup to enhance security.,,431,0.75,,Software Engineering - Ian Sommerville.pdf
n_06bd7199,Access Logging,CodeStructure,A code structure that records user access to the system for security and auditing purposes.,,431,0.7,,Software Engineering - Ian Sommerville.pdf
n_548cdcdf,Log Analysis for Unusual Activity,DesignPattern,A design pattern that involves analyzing logs to detect and respond to unusual system behavior.,,431,0.7,,Software Engineering - Ian Sommerville.pdf
n_996069bd,SOAP-based Services,DesignPattern,Architectural pattern that uses XML-based messaging protocol for exchanging information in web services.,,533,0.8,,Software Engineering - Ian Sommerville.pdf
n_d2702283,RESTful Services,DesignPattern,Architectural pattern for designing networked applications that are stateless and use standard HTTP methods.,,533,0.9,,Software Engineering - Ian Sommerville.pdf
n_69103681,Real-Time Embedded Systems,ArchPattern,An architectural pattern for systems that require real-time processing and are embedded within larger systems.,,436,0.8,,Software Engineering - Ian Sommerville.pdf
n_741d9fbd,Systems of Systems (SoS),ArchPattern,An architectural concept where multiple independent systems are integrated to form a larger system.,,436,0.8,,Software Engineering - Ian Sommerville.pdf
n_c9add6b5,Component Selection,CodeStructure,"A method for selecting modules in a system that provide required functionality, relevant in configurable systems.",,453,0.9,,Software Engineering - Ian Sommerville.pdf
n_d5ca01bf,Parameter Definition,CodeStructure,"Specifies values for system parameters, allowing customization of application instances.",,453,0.8,,Software Engineering - Ian Sommerville.pdf
n_54b03384,Configuration Database,CodeStructure,"Stores specific system configurations, essential for deployment-time configuration.",,453,0.9,,Software Engineering - Ian Sommerville.pdf
n_7f1d5911,Configuration Planning Tool,CodeStructure,Software tools that assist in the configuration process for large systems.,,453,0.75,,Software Engineering - Ian Sommerville.pdf
n_c1e91cb0,User Interface Framework,CodeStructure,"A framework that provides support for building user interfaces, including a set of widgets and tools for constructing displays and handling events.",,444,0.8,,Software Engineering - Ian Sommerville.pdf
n_35418397,Service Wrapper,CodeStructure,"A programming construct that encapsulates an application system\'s functionality, providing an externally visible service interface.",,460,0.8,,Software Engineering - Ian Sommerville.pdf
n_f21d0fff,Interoperability Issues,QualityAttribute,Challenges related to the ability of different application systems to work together due to differing assumptions and implementations.,,460,0.7,,Software Engineering - Ian Sommerville.pdf
n_0eb858a5,Web Application Framework,ArchPattern,"A framework that provides components and classes for building dynamic web applications, including security, session management, and user interaction.",,446,0.9,,Software Engineering - Ian Sommerville.pdf
n_83c1d433,Session Management Class,CodeStructure,Classes within a web application framework that handle the creation and management of user sessions.,,446,0.8,,Software Engineering - Ian Sommerville.pdf
n_569682bf,Database Integration Class,CodeStructure,"Classes that provide an abstract interface to different databases, facilitating database interactions within a framework.",,446,0.8,,Software Engineering - Ian Sommerville.pdf
n_23292a89,User Interaction Class,CodeStructure,"Classes that support user interactions, including AJAX and HTML5, to create dynamic and responsive web pages.",,446,0.75,,Software Engineering - Ian Sommerville.pdf
n_0e6b8352,Middleware Integration Framework,ArchPattern,"Frameworks that support component communication and information exchange, providing a set of standards and object classes.",,446,0.8,,Software Engineering - Ian Sommerville.pdf
n_486872b9,Security Class,CodeStructure,Classes within a web application framework that help implement user authentication and access control.,,446,0.85,,Software Engineering - Ian Sommerville.pdf
n_0ceebb84,Provides Interface,CodeStructure,"Defines the services provided by a component, serving as the component\'s API for external interactions.",,468,0.8,,Software Engineering - Ian Sommerville.pdf
n_508a05a7,Service Provider,CodeStructure,"An entity that deploys components as services, allowing users to utilize them without direct deployment.",,468,0.7,,Software Engineering - Ian Sommerville.pdf
n_9dd9a1ae,Deployable Component,DesignPrinciple,A principle that requires a component to be self-contained and operable as a stand-alone entity on a component platform.,,468,0.8,,Software Engineering - Ian Sommerville.pdf
n_d986cf58,Resource Management System,ArchPattern,An architecture designed for managing and allocating resources efficiently across various services.,,449,0.9,,Software Engineering - Ian Sommerville.pdf
n_8969681a,Vehicle Dispatcher System,ArchPattern,A specific implementation of a resource management system tailored for vehicle dispatching.,,449,0.85,,Software Engineering - Ian Sommerville.pdf
n_8efd46f0,Interaction Level,CodeStructure,The top layer in the architecture that handles user interactions and interfaces.,,449,0.8,,Software Engineering - Ian Sommerville.pdf
n_9cc05704,I/O Management Level,CodeStructure,"The layer responsible for managing input and output operations, including user authentication and report generation.",,449,0.8,,Software Engineering - Ian Sommerville.pdf
n_f68a3264,Database Level,CodeStructure,The foundational layer that manages data storage and transaction management for the system.,,449,0.8,,Software Engineering - Ian Sommerville.pdf
n_17d7e6f3,Requires Interface,CodeStructure,An interface that defines the services that must be provided by other components for a component to function correctly.,,470,0.8,,Software Engineering - Ian Sommerville.pdf
n_93f2c6ae,Adaptor Component,DesignPattern,"A design pattern that reconciles incompatible interfaces between components, allowing them to work together.",,482,0.9,,Software Engineering - Ian Sommerville.pdf
n_fe41dcfc,Data Collector Component,CodeStructure,A specific implementation of a component designed to collect and collate data from various sensors.,,470,0.9,,Software Engineering - Ian Sommerville.pdf
n_e0c85032,Sensor Management Interface,CodeStructure,"An interface that manages the operations related to sensor components, allowing for interaction with various sensor types.",,470,0.75,,Software Engineering - Ian Sommerville.pdf
n_b5d81833,Sensor Data Interface,CodeStructure,"An interface that provides access to the data collected from sensors, enabling data retrieval and reporting.",,470,0.75,,Software Engineering - Ian Sommerville.pdf
n_d1060c2f,Component Validation,DDDConcept,The process of ensuring that a selected component behaves as expected and meets the specified requirements.,,479,0.8,,Software Engineering - Ian Sommerville.pdf
n_41d281a4,Interface Specification,CodeStructure,"Formal documentation that defines the methods and properties of a component, crucial for component validation.",,479,0.85,,Software Engineering - Ian Sommerville.pdf
n_8f0e7c17,Component Composition,DDDConcept,The process of integrating components with each other and glue code to create a system.,,481,0.9,,Software Engineering - Ian Sommerville.pdf
n_b98aaeee,Test Harness,CodeStructure,"A framework that assists in executing test procedures and recording outputs, crucial for ensuring software quality.",,203,0.9,,software-architecture-in-practice-4.pdf
n_d39e4665,Meta-data,CodeStructure,"Information about a component\'s interfaces and attributes, crucial for understanding its capabilities and requirements.",,471,0.75,,Software Engineering - Ian Sommerville.pdf
n_3db21804,Deployment Information,CodeStructure,"Details regarding how components are packaged and deployed, including dependencies and configuration.",,471,0.7,,Software Engineering - Ian Sommerville.pdf
n_e229a672,Wrapper,CodeStructure,"A layer that defines interfaces for components, hiding complexity and enabling reuse.",,477,0.8,,Software Engineering - Ian Sommerville.pdf
n_805233ad,Component Certification,DDDConcept,A process to ensure the quality of components before they are made available for reuse.,,477,0.7,,Software Engineering - Ian Sommerville.pdf
n_f74a5e9f,Reusable Component,CodeStructure,"A component designed to be adaptable and extendable for multiple applications, enhancing reusability.",,476,0.9,,Software Engineering - Ian Sommerville.pdf
n_fb66c231,Domain Abstraction,CodeStructure,"Stable elements of the application domain that change slowly, serving as a foundation for reusable components.",,476,0.85,,Software Engineering - Ian Sommerville.pdf
n_234138dc,Configuration Interface,CodeStructure,A structural component that allows users to specify their preferences and adjust the behavior of the software dynamically.,,515,0.8,,Software Engineering - Ian Sommerville.pdf
n_ebb300da,Stack Data Structure,CodeStructure,"A specific implementation of a data structure that manages elements in a last-in-first-out manner, with defined exceptions.",,476,0.7,,Software Engineering - Ian Sommerville.pdf
n_090b60f6,Cost of Reusability,QualityAttribute,"The assessment of costs associated with making components reusable, including documentation and validation.",,476,0.65,,Software Engineering - Ian Sommerville.pdf
n_06ef6691,Sequential Composition,DesignPattern,"A design pattern where components are composed in a sequence, with outputs from one component serving as inputs to the next.",,482,0.8,,Software Engineering - Ian Sommerville.pdf
n_4b9f83e1,mapper,CodeStructure,A component that displays or prints a map based on the provided post code.,,482,0.8,,Software Engineering - Ian Sommerville.pdf
n_895f673a,Component Acquisition,DDDConcept,The process of acquiring components for reuse or development into a reusable component.,,474,0.7,,Software Engineering - Ian Sommerville.pdf
n_3ee766a4,Security Standards,QualityAttribute,Standards defined to ensure the security of services in software applications.,,474,0.8,,Software Engineering - Ian Sommerville.pdf
n_2f728275,SPRING Framework,CodeStructure,A framework for Java development that supports component-based architecture.,,474,0.8,,Software Engineering - Ian Sommerville.pdf
n_cf2cb267,EJB Component Model,CodeStructure,A fully-featured component model for Java that provides a set of services for enterprise applications.,,474,0.7,,Software Engineering - Ian Sommerville.pdf
n_98c4e57e,Hierarchical Composition,DesignPattern,"A design pattern where one component directly calls the services of another component, requiring compatible interfaces.",,481,0.8,,Software Engineering - Ian Sommerville.pdf
n_ba07dc58,Glue Code,CodeStructure,Code that facilitates the interaction between components by transforming outputs to match expected inputs.,,481,0.7,,Software Engineering - Ian Sommerville.pdf
n_d3ca2a71,Component-based Software Engineering,ArchPattern,An architectural pattern that emphasizes the design and construction of software systems using reusable components.,,489,0.9,,Software Engineering - Ian Sommerville.pdf
n_96f8ca89,Service-oriented Components,CodeStructure,"Components designed to provide services, replacing traditional executable program routines.",,489,0.8,,Software Engineering - Ian Sommerville.pdf
n_b3aa0029,Component Independence,DesignPrinciple,A design principle that allows for the replacement of components without affecting the overall system functionality.,,489,0.85,,Software Engineering - Ian Sommerville.pdf
n_a7ae2d3d,Standard Component Model,DesignPrinciple,A principle that emphasizes the importance of a standardized approach to component design for interoperability.,,489,0.75,,Software Engineering - Ian Sommerville.pdf
n_5b4196e4,Adaptor,DesignPattern,A design pattern that allows incompatible interfaces to work together by converting the interface of a class into another interface clients expect.,,484,0.9,,Software Engineering - Ian Sommerville.pdf
n_2f704538,Data Collector,CodeStructure,"A component responsible for collecting data from various sensors, designed with a generic interface for flexibility.",,484,0.8,,Software Engineering - Ian Sommerville.pdf
n_06b18525,Sensor,CodeStructure,"A component that provides data collection capabilities and operations like start, stop, and getdata.",,484,0.8,,Software Engineering - Ian Sommerville.pdf
n_8bc47c41,Photo Library,CodeStructure,"A component that manages photographs and their metadata, providing methods for adding and retrieving items.",,484,0.8,,Software Engineering - Ian Sommerville.pdf
n_5fa60ad3,Sensor Management,DDDConcept,A bounded context that encompasses operations related to managing sensor data and interactions.,,484,0.75,,Software Engineering - Ian Sommerville.pdf
n_9b9c820d,Adaptability,QualityAttribute,A quality attribute that refers to the ease with which a system can be modified to accommodate changes in requirements.,,486,0.8,,Software Engineering - Ian Sommerville.pdf
n_87071c53,Data Management Component,CodeStructure,"A component responsible for managing data storage and retrieval, often part of a larger system architecture.",,486,0.75,,Software Engineering - Ian Sommerville.pdf
n_2fffa28c,Reporting Component,CodeStructure,"A specific component that handles reporting functionalities, identified as having a significant size in the application.",,108,0.85,,Software.Architecture.The.Hard.Parts.pdf
